Είσοδοι:				    | Έξοδοι:	
D0 	D1	D2	D3 	D4 	D5  |	Y	W
					    |	
0 	0	0	0	0	0   |	1	0
0 	0	0	0	0	1   |	1	0
0 	0	0	0	1	0   |	1	0
0 	0	0	0	1	1   |	1	1
0 	0	0	1	0	0   |	1	0
0 	0	0	1	0	1   |	1	1
0	0	0	1	1	0   |	1	0
0	0	0	1	1	1   |	1	0
0	0	1	0	0	0   |	1	0
0	0	1	0	0	1   |	1	0
0	0	1	0	1	0   |	1	0
0	0	1	0	1	1   |	1	1
0	0	1	1	0	0   |	1	0
0	0	1	1	0	1   |	1	1
0	0	1	1	1	0   |	1	0
0	0	1	1	1	1   |	1	0
0	1	0	0	0	0   |	1	0
0	1	0	0	0	1   |	1	0
0	1	0	0	1	0   |	1	0
0	1	0	0	1	1   |	1	1
0	1	0	1	0	0   |	1	0
0	1	0	1	0	1   |	1	1
0	1	0	1	1	0   |	1	0
0	1	0	1	1	1   |	1	0
0	1	1	0	0	0   |	1	0
0	1	1	0	0	1   |	1	0
0	1	1	0	1	0   |	1	0
0	1	1	0	1	1   |	1	1
0	1	1	1	0	0   |	1	0
0	1	1	1	0	1   |	1	1
0	1	1	1	1	0   |	1	0
0	1	1	1	1	1   |	1	0
1	0	0	0	0	0   |	1	0
1	0	0	0	0	1   |	1	0
1	0	0	0	1	0   |	1	0
1	0	0	0	1	1   |	1	1
1	0	0	1	0	0   |	1	0
1	0	0	1	0	1   |	1	1
1	0	0	1	1	0   |	1	0
1	0	0	1	1	1   |	1	0
1	0	1	0	0	0   |	1	0
1	0	1	0	0	1   |	1	0
1	0	1	0	1	0   |	1	0
1	0	1	0	1	1   |	1	1
1	0	1	1	0	0   |	1	0
1	0	1	1	0	1   |	1	1
1	0	1	1	1	0   |	0	0
1	0	1	1	1	1   |	0	0
1	1	0	0	0	0   |	1	0
1	1	0	0	0	1   |	1	0
1	1	0	0	1	0   |	1	0
1	1	0	0	1	1   |	1	1
1	1	0	1	0	0   |	1	0
1	1	0	1	0	1   |	1	1
1	1	0	1	1	0   |	1	0
1	1	0	1	1	1   |	1	0
1	1	1	0	0	0   |	1	0
1	1	1	0	0	1   |	1	0
1	1	1	0	1	0   |	1	0
1	1	1	0	1	1   |	1	1
1	1	1	1	0	0   |	1	0
1	1	1	1	0	1   |	1	1
1	1	1	1	1	0   |	1	0
1	1	1	1	1	1   |	1	0
